id,text,language,label,source,license,collection_date,split,translation_of,collector,notes
bm-0174,I’m learning new words every day.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0175,I cooked rice and tea for breakfast.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0176,The market was busy this morning.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0177,The market was busy this morning.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0178,Today was calm and quiet; I read a book.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0179,The market was busy this morning.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0180,The sunset looked beautiful from the balcony.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0181,Today was calm and quiet; I read a book.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0182,I’m going to visit my friend tomorrow.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0183,I cooked rice and tea for breakfast.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0184,The market was busy this morning.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0185,Today was calm and quiet; I read a book.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0186,I’m going to visit my friend tomorrow.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0187,I’m learning new words every day.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0188,I cleaned my room and played some music.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0189,Today was calm and quiet; I read a book.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0190,The market was busy this morning.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0191,Today was calm and quiet; I read a book.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0192,I cooked rice and tea for breakfast.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0193,I’m learning new words every day.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0194,I watched a funny show before bed.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0195,I watched a funny show before bed.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0196,We had tea together after dinner.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0197,We had tea together after dinner.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0198,I cooked rice and tea for breakfast.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0199,I watched a funny show before bed.,my,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
bm-0200,The sunset looked beautiful from the balcony.,zom,neutral,self-authored (synthetic placeholder),self-authored,2025-10-05,,,TSK,Replace with your own Burmese/Zomi sentence later.
